"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 23 17:42:38 GMT 2023","Sun Apr 23 17:42:54 GMT 2023","16598","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Bejelentkezés regisztrált felhasználóval",""
"broken","Sun Apr 23 17:43:35 GMT 2023","Sun Apr 23 17:43:53 GMT 2023","18592","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Új adat bevitel, új cikk",""
"broken","Sun Apr 23 17:43:15 GMT 2023","Sun Apr 23 17:43:34 GMT 2023","18609","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"broken","Sun Apr 23 17:44:14 GMT 2023","Sun Apr 23 17:44:33 GMT 2023","18594","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Meglévő adat módosítás (user profil bio)",""
"broken","Sun Apr 23 17:43:54 GMT 2023","Sun Apr 23 17:44:13 GMT 2023","18586","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból, kommentek",""
"passed","Sun Apr 23 17:42:32 GMT 2023","Sun Apr 23 17:42:37 GMT 2023","4406","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Regisztráció új felhasználóval",""
"broken","Sun Apr 23 17:42:55 GMT 2023","Sun Apr 23 17:43:14 GMT 2023","18589","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatok listázása",""
"passed","Sun Apr 23 17:42:29 GMT 2023","Sun Apr 23 17:42:31 GMT 2023","2059","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"broken","Sun Apr 23 17:44:53 GMT 2023","Sun Apr 23 17:45:12 GMT 2023","18588","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatok lementése felületről, tag lista",""
"broken","Sun Apr 23 17:44:34 GMT 2023","Sun Apr 23 17:44:52 GMT 2023","18607","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adat törlése, cikk",""
"broken","Sun Apr 23 17:45:13 GMT 2023","Sun Apr 23 17:45:32 GMT 2023","18594","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Kijelentkezés",""
