"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 23 16:56:35 GMT 2023","Sun Apr 23 16:57:04 GMT 2023","28401","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_logout",""
"broken","Sun Apr 23 16:54:08 GMT 2023","Sun Apr 23 16:54:36 GMT 2023","28404","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_new_data",""
"broken","Sun Apr 23 16:54:37 GMT 2023","Sun Apr 23 16:55:06 GMT 2023","28384","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_repeated_data_from_file",""
"broken","Sun Apr 23 16:53:09 GMT 2023","Sun Apr 23 16:53:37 GMT 2023","28384","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_datalist",""
"broken","Sun Apr 23 16:56:06 GMT 2023","Sun Apr 23 16:56:34 GMT 2023","28385","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_collect_data",""
"passed","Sun Apr 23 16:52:56 GMT 2023","Sun Apr 23 16:53:00 GMT 2023","4446","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_registration",""
"broken","Sun Apr 23 16:53:38 GMT 2023","Sun Apr 23 16:54:07 GMT 2023","28387","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_list_walkthrough",""
"broken","Sun Apr 23 16:55:07 GMT 2023","Sun Apr 23 16:55:35 GMT 2023","28391","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_modify_data",""
"broken","Sun Apr 23 16:53:01 GMT 2023","Sun Apr 23 16:53:08 GMT 2023","6419","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_login",""
"broken","Sun Apr 23 16:55:36 GMT 2023","Sun Apr 23 16:56:05 GMT 2023","28391","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sun Apr 23 16:52:53 GMT 2023","Sun Apr 23 16:52:55 GMT 2023","2064","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_cookie",""
