"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 23 19:10:00 GMT 2023","Sun Apr 23 19:10:24 GMT 2023","23864","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Kijelentkezés",""
"broken","Sun Apr 23 19:07:17 GMT 2023","Sun Apr 23 19:07:41 GMT 2023","23820","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"broken","Sun Apr 23 19:06:50 GMT 2023","Sun Apr 23 19:07:13 GMT 2023","23787","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatok listázása",""
"passed","Sun Apr 23 19:06:30 GMT 2023","Sun Apr 23 19:06:38 GMT 2023","7376","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Regisztráció új felhasználóval",""
"broken","Sun Apr 23 19:09:32 GMT 2023","Sun Apr 23 19:09:56 GMT 2023","23819","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatok lementése felületről, tag lista",""
"broken","Sun Apr 23 19:07:44 GMT 2023","Sun Apr 23 19:08:08 GMT 2023","23811","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Új adat bevitel, új cikk",""
"broken","Sun Apr 23 19:06:41 GMT 2023","Sun Apr 23 19:06:46 GMT 2023","5453","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Bejelentkezés regisztrált felhasználóval",""
"broken","Sun Apr 23 19:08:38 GMT 2023","Sun Apr 23 19:09:02 GMT 2023","23827","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Meglévő adat módosítás (user profil bio)",""
"passed","Sun Apr 23 19:06:25 GMT 2023","Sun Apr 23 19:06:27 GMT 2023","2276","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"broken","Sun Apr 23 19:09:05 GMT 2023","Sun Apr 23 19:09:29 GMT 2023","23804","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adat törlése, cikk",""
"broken","Sun Apr 23 19:08:11 GMT 2023","Sun Apr 23 19:08:35 GMT 2023","23793","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból, kommentek",""
