"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 23 16:50:00 GMT 2023","Sun Apr 23 16:50:28 GMT 2023","28529","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_repeated_data_from_file",""
"passed","Sun Apr 23 16:48:17 GMT 2023","Sun Apr 23 16:48:21 GMT 2023","4636","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_registration",""
"broken","Sun Apr 23 16:51:59 GMT 2023","Sun Apr 23 16:52:27 GMT 2023","28572","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_logout",""
"broken","Sun Apr 23 16:50:29 GMT 2023","Sun Apr 23 16:50:58 GMT 2023","28540","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_modify_data",""
"broken","Sun Apr 23 16:51:29 GMT 2023","Sun Apr 23 16:51:58 GMT 2023","28536","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_collect_data",""
"broken","Sun Apr 23 16:49:30 GMT 2023","Sun Apr 23 16:49:58 GMT 2023","28515","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_new_data",""
"broken","Sun Apr 23 16:50:59 GMT 2023","Sun Apr 23 16:51:28 GMT 2023","28580","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_delete_article",""
"broken","Sun Apr 23 16:48:30 GMT 2023","Sun Apr 23 16:48:59 GMT 2023","28541","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_datalist",""
"broken","Sun Apr 23 16:49:00 GMT 2023","Sun Apr 23 16:49:29 GMT 2023","28531","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_list_walkthrough",""
"broken","Sun Apr 23 16:48:23 GMT 2023","Sun Apr 23 16:48:29 GMT 2023","6515","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_login",""
"passed","Sun Apr 23 16:48:13 GMT 2023","Sun Apr 23 16:48:16 GMT 2023","2083","test_conduit_vizsgaremek","test_conduit","TestConduit","","","test_cookie",""
