"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 19:26:41 GMT 2023","Sun Apr 23 19:26:48 GMT 2023","6602","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Regisztráció új felhasználóval",""
"broken","Sun Apr 23 19:27:11 GMT 2023","Sun Apr 23 19:27:24 GMT 2023","13388","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"broken","Sun Apr 23 19:28:13 GMT 2023","Sun Apr 23 19:28:26 GMT 2023","13411","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adat törlése, cikk",""
"passed","Sun Apr 23 19:26:36 GMT 2023","Sun Apr 23 19:26:38 GMT 2023","2181","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"broken","Sun Apr 23 19:27:27 GMT 2023","Sun Apr 23 19:27:41 GMT 2023","13407","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Új adat bevitel, új cikk",""
"broken","Sun Apr 23 19:27:56 GMT 2023","Sun Apr 23 19:28:10 GMT 2023","13440","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Meglévő adat módosítás (user profil bio)",""
"passed","Sun Apr 23 19:28:29 GMT 2023","Sun Apr 23 19:28:40 GMT 2023","10325","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatok lementése felületről, tag lista",""
"broken","Sun Apr 23 19:27:44 GMT 2023","Sun Apr 23 19:27:53 GMT 2023","9331","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból, kommentek",""
"broken","Sun Apr 23 19:28:43 GMT 2023","Sun Apr 23 19:28:56 GMT 2023","13423","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Sun Apr 23 19:27:00 GMT 2023","Sun Apr 23 19:27:08 GMT 2023","8309","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatok listázása",""
"broken","Sun Apr 23 19:26:51 GMT 2023","Sun Apr 23 19:26:56 GMT 2023","5421","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Bejelentkezés regisztrált felhasználóval",""
