"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 23 19:50:34 GMT 2023","Sun Apr 23 19:51:08 GMT 2023","33707","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Új adat bevitel, új cikk",""
"broken","Sun Apr 23 19:50:17 GMT 2023","Sun Apr 23 19:50:31 GMT 2023","13343","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"broken","Sun Apr 23 19:49:57 GMT 2023","Sun Apr 23 19:50:03 GMT 2023","5336","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Bejelentkezés regisztrált felhasználóval",""
"broken","Sun Apr 23 19:51:23 GMT 2023","Sun Apr 23 19:51:36 GMT 2023","13391","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Meglévő adat módosítás (user profil bio)",""
"broken","Sun Apr 23 19:51:40 GMT 2023","Sun Apr 23 19:51:53 GMT 2023","13368","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adat törlése, cikk",""
"broken","Sun Apr 23 19:52:09 GMT 2023","Sun Apr 23 19:52:23 GMT 2023","13379","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Kijelentkezés",""
"broken","Sun Apr 23 19:51:11 GMT 2023","Sun Apr 23 19:51:20 GMT 2023","9282","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból, kommentek",""
"passed","Sun Apr 23 19:51:56 GMT 2023","Sun Apr 23 19:52:06 GMT 2023","10287","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatok lementése felületről, tag lista",""
"passed","Sun Apr 23 19:50:06 GMT 2023","Sun Apr 23 19:50:14 GMT 2023","8281","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatok listázása",""
"passed","Sun Apr 23 19:49:48 GMT 2023","Sun Apr 23 19:49:54 GMT 2023","6467","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Regisztráció új felhasználóval",""
"passed","Sun Apr 23 19:49:43 GMT 2023","Sun Apr 23 19:49:45 GMT 2023","2061","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
